tweet_id,timestamp,rating,retweet_count,favorite_count,breed,confidence,name,stage,source,text
892420643555336193,2017-08-01 16:23:56,13,7861,36908,none,0,Phineas,none,,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU
892177421306343426,2017-08-01 00:17:27,13,5834,31762,Chihuahua,32,Tilly,none,,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV"
891815181378084864,2017-07-31 00:18:03,12,3853,23932,Chihuahua,71,Archie,none,,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB
891689557279858688,2017-07-30 15:58:51,13,8026,40224,Labrador_retriever,16,Darla,none,,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ
891327558926688256,2017-07-29 16:00:24,12,8685,38421,basset,55,Franklin,none,,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f"
891087950875897856,2017-07-29 00:08:17,13,2891,19333,Chesapeake_Bay_retriever,42,None,none,,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh
890971913173991426,2017-07-28 16:27:12,13,1906,11263,Appenzeller,34,Jax,none,,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl"
890729181411237888,2017-07-28 00:22:40,13,17567,62237,Pomeranian,56,None,none,,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq
890609185150312448,2017-07-27 16:25:51,13,3988,26602,Irish_terrier,48,Zoey,none,,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b
890240255349198849,2017-07-26 15:59:51,14,6834,30446,Pembroke,51,Cassie,doggo,,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A
890006608113172480,2017-07-26 00:31:25,13,6820,29305,Samoyed,95,Koda,none,,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme
889880896479866881,2017-07-25 16:11:53,13,4643,26610,French_bulldog,37,Bruno,none,,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g
889665388333682689,2017-07-25 01:55:32,13,9324,45875,Pembroke,96,None,puppo,,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm
889638837579907072,2017-07-25 00:10:02,12,4185,25849,French_bulldog,99,Ted,none,,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR
889531135344209921,2017-07-24 17:02:04,13,2102,14441,golden_retriever,95,Stuart,puppo,,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq
889278841981685760,2017-07-24 00:19:32,13,4975,24033,whippet,62,Oliver,none,,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb
888917238123831296,2017-07-23 00:22:39,12,4191,27793,golden_retriever,71,Jim,none,,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN
888804989199671297,2017-07-22 16:56:37,13,3962,24410,golden_retriever,46,Zeke,none,,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K
888554962724278272,2017-07-22 00:23:06,13,3260,18884,Siberian_husky,70,Ralphus,none,,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK
888078434458587136,2017-07-20 16:49:33,12,3221,20777,French_bulldog,99,Gerald,none,,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX
887705289381826560,2017-07-19 16:06:48,13,5006,28846,basset,82,Jeffrey,none,,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64
887517139158093824,2017-07-19 03:39:09,14,10931,44213,none,0,Such,none,,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba
887473957103951883,2017-07-19 00:47:34,13,16790,65728,Pembroke,80,Canela,none,,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX
887343217045368832,2017-07-18 16:08:03,13,9733,32149,Mexican_hairless,33,None,none,,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV
887101392804085760,2017-07-18 00:07:08,12,5543,29184,Samoyed,73,None,none,,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp
886983233522544640,2017-07-17 16:17:36,13,7142,33452,Chihuahua,79,Maya,none,,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT
886736880519319552,2017-07-16 23:58:41,13,3007,11472,kuvasz,30,Mingus,none,,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b"
886680336477933568,2017-07-16 20:14:00,13,4152,21420,none,0,Derek,none,,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA
886366144734445568,2017-07-15 23:25:31,12,2958,20190,French_bulldog,99,Roscoe,pupper,,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox
886258384151887873,2017-07-15 16:17:19,13,5874,26685,pug,94,Waffles,none,,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O
